nome,preco,quantidade,tipo,data_scraping
Adesivo | Spinx (Purpurinado) | Xangai 2024,0.05,129,Autographs,2024-12-17
Adesivo | sh1ro (Holográfico) | Xangai 2024,3.14,8,Autographs,2024-12-14
Adesivo | floppy (Purpurinado) | Xangai 2024,0.17,17,Autographs,2024-12-17
Adesivo | zont1x (Purpurinado) | Xangai 2024,0.12,65,Autographs,2024-12-16
Adesivo | Summer | Xangai 2024,0.15,39,Autographs,2024-12-17
Adesivo | sjuush (Dourado) | Xangai 2024,2.88,9,Autographs,2024-12-17
Adesivo | kauez (Purpurinado) | Xangai 2024,0.09,23,Autographs,2024-12-16
Adesivo | NAF | Xangai 2024,0.07,45,Autographs,2024-12-17
Adesivo | sjuush (Holográfico) | Xangai 2024,0.48,18,Autographs,2024-12-17
Adesivo | decenty (Purpurinado) | Xangai 2024,0.09,18,Autographs,2024-12-17
Adesivo | floppy | Xangai 2024,0.04,55,Autographs,2024-12-17
Adesivo | L1haNg | Xangai 2024,0.12,52,Autographs,2024-12-17
Adesivo | magixx (Holográfico) | Xangai 2024,5.83,27,Autographs,2024-12-16
Adesivo | KRIMZ | Xangai 2024,0.04,32,Autographs,2024-12-17
Adesivo | Jame (Purpurinado) | Xangai 2024,0.29,31,Autographs,2024-12-17
Adesivo | Graviti (Purpurinado) | Xangai 2024,0.05,84,Autographs,2024-12-16
Adesivo | JT | Xangai 2024,0.04,17,Autographs,2024-12-16
Adesivo | Jimpphat | Xangai 2024,0.03,473,Autographs,2024-12-17
Adesivo | huNter- (Purpurinado) | Xangai 2024,0.25,71,Autographs,2024-12-16
Adesivo | Volt | Xangai 2024,0.06,32,Autographs,2024-12-17
Adesivo | TeSeS | Xangai 2024,0.03,814,Autographs,2024-12-17
Adesivo | somebody | Xangai 2024,0.27,46,Autographs,2024-12-17
Adesivo | YEKINDAR | Xangai 2024,0.16,34,Autographs,2024-12-17
Cápsula de Autógrafos das Lendas do Xangai 2024,2.01,217,Autographs,2024-12-16
Adesivo | broky (Dourado) | Xangai 2024,12.07,17,Autographs,2024-12-17
Adesivo | b1t (Holográfico) | Xangai 2024,0.62,52,Autographs,2024-12-17
Adesivo | Maka | Xangai 2024,0.03,512,Autographs,2024-12-17
Adesivo | kyxsan (Purpurinado) | Xangai 2024,0.04,131,Autographs,2024-12-17
Adesivo | JBa (Dourado) | Xangai 2024,73.72,3,Autographs,2024-12-17
Adesivo | Perfecto (Holográfico) | Xangai 2024,1.38,18,Autographs,2024-12-17
Adesivo | NiKo | Xangai 2024,0.5,174,Autographs,2024-12-17
Adesivo | insani | Xangai 2024,0.04,138,Autographs,2024-12-17
Adesivo | karrigan (Holográfico) | Xangai 2024,2.6,25,Autographs,2024-12-17
Adesivo | snow | Xangai 2024,0.13,40,Autographs,2024-12-17
Adesivo | electronic | Xangai 2024,0.06,46,Autographs,2024-12-17
Adesivo | KSCERATO (Purpurinado) | Xangai 2024,1.69,12,Autographs,2024-12-17
Adesivo | jks (Purpurinado) | Xangai 2024,1.45,25,Autographs,2024-12-17
Adesivo | NertZ (Holográfico) | Xangai 2024,0.43,49,Autographs,2024-12-16
Adesivo | sjuush | Xangai 2024,0.03,590,Autographs,2024-12-17
Adesivo | ICY | Xangai 2024,0.04,89,Autographs,2024-12-17
Adesivo | susp (Purpurinado) | Xangai 2024,0.09,38,Autographs,2024-12-16
